time,province,city,confirm,heal,dead
2020/2/29,广西,北海,0,1,0
2020/3/1,广西,北海,0,0,0
2020/3/2,广西,北海,0,2,0
2020/3/3,广西,北海,0,2,0
2020/3/4,广西,北海,0,0,0
2020/3/5,广西,北海,0,1,0
2020/3/6,广西,北海,0,0,0
2020/3/7,广西,北海,0,0,0
2020/3/8,广西,北海,0,2,0
2020/3/9,广西,北海,0,1,0
2020/3/10,广西,北海,0,1,0
2020/3/11,广西,北海,0,1,0
2020/3/12,广西,北海,0,1,0
2020/3/13,广西,北海,0,0,0
2020/3/14,广西,北海,0,0,0
2020/2/7,广西,南宁,32,0,0
2020/2/8,广西,南宁,3,2,0
2020/2/9,广西,南宁,2,0,0
2020/2/10,广西,南宁,4,6,0
2020/2/11,广西,南宁,3,0,0
2020/2/12,广西,南宁,0,2,0
2020/2/13,广西,南宁,3,0,0
2020/2/14,广西,南宁,2,1,0
2020/2/15,广西,南宁,1,0,0
2020/2/16,广西,南宁,1,3,0
2020/2/17,广西,南宁,3,2,0
2020/2/18,广西,南宁,0,2,0
2020/2/19,广西,南宁,0,5,0
2020/2/20,广西,南宁,0,1,0
2020/2/21,广西,南宁,1,1,0
2020/2/22,广西,南宁,0,3,0
2020/2/23,广西,南宁,0,1,0
2020/2/24,广西,南宁,0,5,0
2020/2/25,广西,南宁,0,2,0
2020/2/26,广西,南宁,0,6,0
2020/2/27,广西,南宁,0,2,0
2020/2/28,广西,南宁,0,2,0
2020/2/29,广西,南宁,0,4,0
2020/3/1,广西,南宁,0,2,0
2020/3/2,广西,南宁,0,2,0
2020/3/3,广西,南宁,0,0,0
2020/3/4,广西,南宁,0,0,0
2020/3/5,广西,南宁,0,0,0
2020/3/6,广西,南宁,0,0,0
2020/3/7,广西,南宁,0,0,0
2020/3/8,广西,南宁,0,0,0
2020/3/9,广西,南宁,0,0,0
2020/3/10,广西,南宁,0,0,0
2020/3/11,广西,南宁,0,0,0
2020/3/12,广西,南宁,0,0,0
2020/3/13,广西,南宁,0,0,0
2020/3/14,广西,南宁,0,0,0
2020/2/7,陕西,杨凌,1,0,0
2020/2/8,陕西,杨凌,0,0,0
2020/2/9,陕西,杨凌,0,0,0
2020/2/10,陕西,杨凌,0,0,0
2020/2/11,陕西,杨凌,0,0,0
2020/2/12,陕西,杨凌,0,0,0
2020/2/13,陕西,杨凌,0,0,0
2020/2/14,陕西,杨凌,0,0,0
2020/2/15,陕西,杨凌,0,0,0
2020/2/16,陕西,杨凌,0,0,0
2020/2/17,陕西,杨凌,0,0,0
2020/2/18,陕西,杨凌,0,0,0
2020/2/19,陕西,杨凌,0,0,0
2020/2/20,陕西,杨凌,0,0,0
2020/2/21,陕西,杨凌,0,0,0
2020/2/22,陕西,杨凌,0,0,0
2020/2/23,陕西,杨凌,0,0,0
2020/2/24,陕西,杨凌,0,0,0
2020/2/25,陕西,杨凌,0,1,0
2020/2/26,陕西,杨凌,0,0,0
2020/2/27,陕西,杨凌,0,0,0
2020/2/28,陕西,杨凌,0,0,0
2020/2/29,陕西,杨凌,0,0,0
2020/3/1,陕西,杨凌,0,0,0
2020/3/2,陕西,杨凌,0,0,0
2020/3/3,陕西,杨凌,0,0,0
2020/3/4,陕西,杨凌,0,0,0
2020/3/5,陕西,杨凌,0,0,0
2020/3/6,陕西,杨凌,0,0,0
2020/3/7,陕西,杨凌,0,0,0
2020/3/8,陕西,杨凌,0,0,0
2020/3/9,陕西,杨凌,0,0,0
2020/3/10,陕西,杨凌,0,0,0
2020/3/11,陕西,杨凌,0,0,0
2020/3/12,陕西,杨凌,0,0,0
2020/3/13,陕西,杨凌,0,0,0
2020/3/14,陕西,杨凌,0,0,0
2020/2/7,广西,梧州,5,2,0
2020/2/8,广西,梧州,0,1,0
2020/2/9,广西,梧州,0,0,0
2020/2/10,广西,梧州,0,0,0
2020/2/11,广西,梧州,0,2,0
2020/2/12,广西,梧州,0,0,0
2020/2/13,广西,梧州,0,0,0
2020/2/14,广西,梧州,0,0,0
2020/2/15,广西,梧州,0,0,0
2020/2/16,广西,梧州,0,0,0
2020/2/17,广西,梧州,0,0,0
2020/2/18,广西,梧州,0,0,0
2020/2/19,广西,梧州,0,0,0
2020/2/20,广西,梧州,0,0,0
2020/2/21,广西,梧州,0,0,0
2020/2/22,广西,梧州,0,0,0
2020/2/23,广西,梧州,0,0,0
2020/2/24,广西,梧州,0,0,0
2020/2/25,广西,梧州,0,0,0
2020/2/26,广西,梧州,0,0,0
2020/2/27,广西,梧州,0,0,0
2020/2/28,广西,梧州,0,0,0
2020/2/29,广西,梧州,0,0,0
2020/3/1,广西,梧州,0,0,0
2020/3/2,广西,梧州,0,0,0
2020/3/3,广西,梧州,0,0,0
2020/3/4,广西,梧州,0,0,0
2020/3/5,广西,梧州,0,0,0
2020/3/6,广西,梧州,0,0,0
2020/3/7,广西,梧州,0,0,0
2020/3/8,广西,梧州,0,0,0
2020/3/9,广西,梧州,0,0,0
2020/3/10,广西,梧州,0,0,0
2020/3/11,广西,梧州,0,0,0
2020/3/12,广西,梧州,0,0,0
2020/3/13,广西,梧州,0,0,0
2020/3/14,广西,梧州,0,0,0
2020/2/7,陕西,韩城,1,0,0
2020/2/8,陕西,韩城,0,0,0
2020/2/9,陕西,韩城,0,0,0
2020/2/10,陕西,韩城,0,0,0
2020/2/11,陕西,韩城,0,0,0
2020/2/12,陕西,韩城,0,0,0
